City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,prince rupert,54.3161,-130.3201,-1.95,64,0,1.54,CA,1705274507
111,sergeyevka,53.88,67.4158,-21.38,90,7,6.23,KZ,1705274507
112,new kingman-butler,35.265,-114.0323,13.97,28,0,0.6,US,1705274507
113,saynshand,44.8824,110.1163,-16.47,85,36,2.99,MN,1705274507
114,saldanha,-33.0117,17.9442,17.03,89,38,3.99,ZA,1705274507
115,nishinoomote,30.7333,131.0,17.68,62,3,12.04,JP,1705274508
116,bikenibeu village,1.3673,173.1241,30.98,74,100,4.12,KI,1705274509
117,ceelbuur,4.685,46.6176,25.0,74,86,5.5,SO,1705274509
118,new norfolk,-42.7826,147.0587,18.84,48,52,0.94,AU,1705274509
119,beyneu,45.3167,55.2,-14.02,89,5,4.03,KZ,1705274509
120,kete krachi,7.7939,-0.0498,28.19,37,22,3.31,GH,1705274510
121,krasnoslobodsk,48.7072,44.5714,-7.1,86,100,9.0,RU,1705274510
122,san luis de la loma,17.2706,-100.8939,27.59,56,6,2.11,MX,1705274510
123,wailua homesteads,22.0669,-159.378,23.75,59,0,3.6,US,1705274510
124,vilyuysk,63.7553,121.6247,-37.22,100,100,0.45,RU,1705274510
125,gudur,14.1333,79.85,20.82,93,30,2.47,IN,1705274510
126,nemuro,43.3236,145.575,-3.73,58,24,12.38,JP,1705274511
127,katsuren-haebaru,26.3369,127.8719,19.01,59,20,2.06,JP,1705274511
128,hemsby,52.6971,1.6918,2.45,89,90,9.35,GB,1705274511
129,olonkinbyen,70.9221,-8.7187,-9.38,85,100,11.51,SJ,1705274511
130,touros,-5.1989,-35.4608,26.96,74,42,5.37,BR,1705274511
131,new plymouth,-39.0667,174.0833,19.62,88,100,3.46,NZ,1705274511
132,san patricio,28.017,-97.5169,13.92,63,81,6.79,US,1705274511
133,arbuzynka,47.9097,31.3196,-10.18,92,26,2.09,UA,1705274511
134,howard springs,-12.497,131.047,28.95,93,100,7.73,AU,1705274511
135,souillac,-20.5167,57.5167,28.21,89,75,5.14,MU,1705274512
136,pacific grove,36.6177,-121.9166,15.21,85,0,3.6,US,1705274512
137,whitehorse,60.7161,-135.0538,-16.61,70,100,11.32,CA,1705274380
138,jennings,38.7192,-90.2604,-16.62,63,75,4.12,US,1705274512
139,praia da vitoria,38.7333,-27.0667,13.2,94,20,1.39,PT,1705274512
140,aasiaat,68.7098,-52.8699,-4.0,97,97,3.45,GL,1705274512
141,keratsini,37.9625,23.6197,11.87,71,6,0.89,GR,1705274512
142,gumdag,39.2061,54.5906,-5.29,87,56,9.26,TM,1705274512
143,keflavik,64.0049,-22.5624,-3.76,58,0,3.6,IS,1705274512
144,fuding,27.3273,120.214,9.98,92,2,0.43,CN,1705274513
145,yuzhno-kurilsk,44.0306,145.8556,-3.12,55,29,8.84,RU,1705274513
146,ambon,-3.6954,128.1814,29.08,74,40,5.66,ID,1705274513
147,taoudenni,22.6783,-3.9836,19.75,14,99,5.7,ML,1705274513
148,oranjemund,-28.55,16.4333,16.81,93,2,4.17,NA,1705274513
149,qurayyat,31.3318,37.3428,7.1,81,0,0.0,SA,1705274513
150,miahuatlan de porfirio diaz,16.3333,-96.6,23.74,48,13,2.63,MX,1705274474
151,moyynkum,44.2914,72.9469,-6.51,96,100,3.23,KZ,1705274514
152,miasteczko slaskie,50.5026,18.9395,0.32,88,40,6.69,PL,1705274514
153,pikalevo,59.5183,34.1664,-15.15,94,99,3.24,RU,1705274514
154,okondja,-0.6549,13.6753,23.74,89,56,1.03,GA,1705274514
155,hamilton,39.1834,-84.5333,-10.2,62,0,3.6,US,1705274314
156,andergrove,-21.0833,149.1833,28.14,75,87,6.41,AU,1705274514
157,kani keli,-12.9536,45.1033,27.59,77,98,5.33,YT,1705274514
